advising_requisite_code	core_literature_requirement	course_catalog_text	course_code	course_code_number	course_code_prefix	course_code_sanitized	course_fees	course_title	default_credit_hours	division_code	fee_type	fixed_variable_credit	max_credit_hours	min_credit_hourse
ART220	Y	Introduces photographic fundamentals including camera types, function, black and white film processing and printing, natural and aritficial lighting, composition, and use of photography as medium of communication and artistic expression. Basic history of film-based photography explored, introducing significant discoveries, photographers and movements. Lab fee.  	ART  220                      	220	ART	ART-220	0	PHOTOGRAPHY I: DARKROOM	4	UG	Y	F	4	4
ART270	Y	"Exploration of the elements of design from the wholistic idea down to small details.  Design as a process will be discussed and used as a lens through which we see and interact, as specific a skill set and as a solution to visual problem solving. Students will work on design projects such as creating visual identity, employing typography and exploring the relationship between typographic elements and image. Throughout the semester we will spend time engaging with the work of professional designers, ask the question, ""why are we designers,"" and discuss the ethics surrounding graphic design as a marketable medium. Primary work will be in Illustrator. Prerequisites: ART102, ART115, ART116. Lab fee."	ART  270                      	270	ART	ART-270	0	DESIGN STUDIO	4	UG	Y	F	4	4
ART270	Y	"Exploration of the elements of design from the wholistic idea down to small details.  Design as a process will be discussed and used as a lens through which we see and interact, as specific a skill set and as a solution to visual problem solving. Students will work on design projects such as creating visual identity, employing typography and exploring the relationship between typographic elements and image. Throughout the semester we will spend time engaging with the work of professional designers, ask the question, ""why are we designers,"" and discuss the ethics surrounding graphic design as a marketable medium. Primary work will be in Illustrator. Prerequisites: ART102, ART115, ART116. Lab fee."	ART  270                      	270	ART	ART-270	0	DESIGN STUDIO	4	UG	Y	F	4	4
ART315	Y	Introduces range of intaglio techniques including hard and soft ground etching, drypoint and aquatint. Students explore process of developing individual thematic approach. Prerequisite: ART 102 or ART 115 and 116, Major or permission of instructor. ART215 not a prerequisite. Lab fee.	ART  315                      	315	ART	ART-315	0	INTAGLIO PRINTMAKING	4	UG	Y	F	4	4
BIO107	Y	Explores animal and plant anatomy and physiology with emphasis on application in human systems. Weekly laboratory. Lab fee.	BIO  107                      	107	BIO	BIO-107	0	ORGANISMAL FORM AND FUNCTION	2	UG	Y	F	2	2
ART320	Y	Introduction to digital photography, equipment and processes. Adobe Lightroom introduced and utilized as primary processing application throughout course. Examines image presentation possibilities from screen to print. Continues exploration of photography as communicative and expressive tool. Prerequisite: Major or permission of instructor. Lab fee.	ART  320                      	320	ART	ART-320	0	PHOTOGRAPHY II: DIGITAL	4	UG	Y	F	4	4
ART325	Y	Introduces methods of carving stone �in the round� and in relief. Subtractive methods of carving employed while incorporating elements of sculptural form, including mass/space relationships, volume, surface planes, transitional forms and textural variety. Students use traditional and power tools with varieties of alabaster and limestone. Representational and nonrepresentational imagery from both Western and non-Western traditions encouraged.  Lab fee.	ART  325                      	325	ART	ART-325	0	STONE SCULPTURE: CARVING	4	UG	Y	F	4	4
ART400	Y	Senior majors who select this option choose a specific medium and with a faculty mentor�s guidance develop a body of work and a personal artistic direction culminating in a gallery exhibit their final semester. Prerequisite: Senior art major, ART 402 or permission of instructor. Lab fee.	ART  400                      	400	ART	ART-400	0	SENIOR THESIS	4	UG	Y	V	4	4
ART402	Y	Prepares seniors for spring thesis or internship and explores theoretical components of vocation as it relates to calling, talent and career. Practical components of entering the job market (resume writing, networking, resources, occupational options) are discussed. Lab fee. Prerequisite: Senior art major or permission of instructor.	ART  402                      	402	ART	ART-402	0	ART AND VOCATION	4	UG	Y	F	4	4
ART410	NULL	Introduces major trends, theories and movements in 20th-century art (Cubism, Surrealism, Expressionism, Minimalism, etc.); Modernism and Postmodernism discussed within Western contexts while addressing non-Western influences. Open to nonmajors. Fulfills core Aesthetic Sensibilities and Practices theme.	ART  410                      	410	ART	ART-410	0	MODERN ART SEMINAR	4	UG	NULL	F	4	4
BCM101	NULL	Examines Old Testament history and teaching against cultural, geographical and literary background of ancient Near East, Archaeology, comparative history and literature, key theological themes foundational to New Testament and Western culture. Fulfills common core requirement.	BCM  101                      	101	BCM	BCM-101	0	OLD TESTAMENT HIST, LIT, THEOLOGY	4	UG	NULL	F	4	4
BCM103	NULL	Examines history and teachings of New Testament in political, social and religious contexts. Highlights important theological themes such as sin, grace, justification by faith, Kingdom of God. Fulfills common core requirement.	BCM  103                      	103	BCM	BCM-103	0	NEW TESTAMENT HIST., LIT., THEOLOGY	4	UG	NULL	F	4	4
BCM105	NULL	Examines purpose of youth ministry, youth in modern American cultures, needs of youth and their parents, history and future of youth ministry profession, and elements of programming.	BCM  105                      	105	BCM	BCM-105	0	FOUNDATIONS OF YOUTH MINISTRY	4	UG	NULL	F	4	4
BCM201	NULL	Introduces fundamentals of Greek of New Testament era. Emphasizes grammar and reading skills. Fulfills common core requirement.	BCM  201                      	201	BCM	BCM-201	0	GREEK I	4	UG	NULL	F	4	4
BCM202	NULL	Continues Greek I; extensive reading in Johannine literature of Greek New Testament. Prerequisite: BCM 201 (with a C or better) or equivalent. Fulfills common core requirement.	BCM  202                      	202	BCM	BCM-202	0	GREEK II	4	UG	NULL	F	4	4
BCM204	NULL	Studies Christian origins according to Gospel of Luke and Acts of the Apostles. Examines literary features, socio-cultural context and theological themes in narratives. Also makes comparative analysis of continuity and discontinuity in ministries of Jesus Christ of Nazareth and that of Paul of Tarsus. (Alternate years).  Prerequisite(s): BCM 101 BCM 103	BCM  204                      	204	BCM	BCM-204	0	LUKE & ACTS	4	UG	NULL	F	4	4
BCM205	NULL	Surveys Paul's correspondence with Corinthian Church, problems arising in clash of Christian faith with pagan culture, and relevance for today's church. Alternate years).  Prerequisite(s): BCM 101 BCM 103	BCM  205                      	205	BCM	BCM-205	0	CORINTHIAN CORRESPONDENCE	4	UG	NULL	F	4	4
BCM209	NULL	Studies two of Paul's most important letters and basic Christian teachings against background of curent thought concerning problems of sin, guilt, faith and religious experience.  Prerequisite(s): BCM 101 BCM 103	BCM  209                      	209	BCM	BCM-209	0	ROMANS AND GALATIANS	4	UG	NULL	F	4	4
BCM210	NULL	Focuses on historical background, structure, theology and message of Ephesians, Philippians, Colossians, and Philemon. Attention also given to issues of authority, literary genre, development of Pauline thought and contemporary relevance of documents studied. (Alternate years).  Prerequisite(s): BCM 101 BCM 103	BCM  210                      	210	BCM	BCM-210	0	PRISON EPISTLES	4	UG	NULL	F	4	4
BCM215	NULL	Comprehensive introduction to world Christian movement as involved in mission. Course provides systematic and critical understanding based on biblical foundations, historical developments, cultural issues and strategic approaches. Analysis of dynamics of growth of Christian movement from Apostolic era to present day.  Fulfills core Global Understanding theme.	BCM  215                      	215	BCM	BCM-215	0	FOUNDATIONS FOR GLOBAL CHRISTIANITY	4	UG	NULL	F	4	4
BCM216	NULL	Analysis of recent developments and debates in mission circles. Addresses issues pertaining to traditional missionary service and tentmaking through teaching, government service, international business and health care. Special attention given to major leaders in evangelization of new peoples and nations and to diverse structures of mission outreach. Topics include contextualization, demographic shifts, cross-cultural family life, health care overseas, the relationship between justice and evangelization, and liberation theology.  Fulfills core Global Understanding theme.	BCM  216                      	216	BCM	BCM-216	0	CONTEMPORARY DEV IN WORLD MISSIONS	4	UG	NULL	F	4	4
BCM220	NULL	Introduces academic study of the Bible and related topics; addresses historical and geographical backgrounds, literary and socio-anthropological approaches to text, selected theological issues and research methods.  Prerequisite(s): BCM 101 BCM 103	BCM  220                      	220	BCM	BCM-220	0	INTRODUCTION TO BIBLICAL STUDIES	4	UG	NULL	F	4	4
BIO108	Y	Features ecological systems and key concepts of evolutionary theory. Weekly laboratory. Lab fee.	BIO  108                      	108	BIO	BIO-108	0	ECOLOGY AND EVOLUTION	2	UG	Y	F	2	2
BCM225	NULL	Designed to be taken spring prior to students embarking on summer missions trips. Prepares students for cross-cultural summer missions experiences focusing on cultural analysis and sensitivity, and cross-cultural living.	BCM  225                      	225	BCM	BCM-225	0	PREPARATION FOR WORLD MISSIONS	2	UG	NULL	F	2	2
BCM241	NULL	Examines needs and problems of normal and troubled adolescent experience. Attention given to developing strategy of ministry through counseling.	BCM  241                      	241	BCM	BCM-241	0	FAMILY AND ADOLESCENT COUNSELING	4	UG	NULL	F	4	4
BCM243	NULL	What does it mean to be human? Theological anthropology explores this question by emphasizing the transformative nature of our relationship to God and our participation in the cultures and societies in which we develop our identities. This course offers students the opportunity for theological reflection on the doctrines of creation, Christology, soteriology, and eschatology in dialogue with current issues of global justice so that we might be agents of God's mercy toward our fellow human beings.	BCM  243                      	243	BCM	BCM-243	0	JUSTICE & MERCY: THEOL ANTHROPOLGY	4	UG	NULL	F	4	4
BCM245	NULL	An examination of the theological developments from the second through the fourteenth centuries. This course will explore the central discussions and developments in patristic theology (the ecumenical creeds, the Biblical canon, the doctrines of the Trinity and Christology) and of medieval theology (the relationship between reason and revelation, atonement, and mysticism).	BCM  245                      	245	BCM	BCM-245	0	ANCIENT/MEDIEVAL THEOLOGY	4	UG	NULL	F	4	4
BCM246	NULL	An examination of the theological developments from the Reformation to the present. This course will explore the central discussions of the Protestant Reformation (nature and grace, sacraments, the doctrine of Scripture) and developments in theology from the Enlightenment to the present, including predominant movements in contemporary and global theology.	BCM  246                      	246	BCM	BCM-246	0	RENEWALS AND REFORMATIONS	4	UG	NULL	F	4	4
BCM253	NULL	Surveys variety of philosophies, styles, issues and current challenges for developing leadership in youth ministry. Students challenged to grow as leaders and develop personal philosophy of Christian leadership. Spring semester offering for Christian Ministries majors/minors only.  Fulfills core civic Responsibility theme.	BCM  253                      	253	BCM	BCM-253	0	LEADERSHIP THEORIES AND PRACTICE	4	UG	NULL	F	4	4
BCM253	NULL	Surveys variety of philosophies, styles, issues and current challenges for developing leadership in youth ministry. Students challenged to grow as leaders and develop personal philosophy of Christian leadership. Spring semester offering for Christian Ministries majors/minors only.  Fulfills core civic Responsibility theme.	BCM  253                      	253	BCM	BCM-253	0	LEADERSHIP THEORIES AND PRACTICE	4	UG	NULL	F	4	4
BCM260	NULL	Examines dynamics of Christian formation in adolescence within sociocultural environments of ancient and contemporary worlds. Emphasizes interrelated and distinct stages of faith formation, theological interplay between Christ and culture, and ways culture influences our understanding of God, ourselves and the Church.  Fall semster offering for Christian Ministries majors/minors only.  Prereequisite(s):  BCM101, BCM 103. Fulfills core Human Person theme.	BCM  260                      	260	BCM	BCM-260	0	CHRISTIAN FORMTN IN CULTURAL CONTXT	4	UG	NULL	F	4	4
BCM270	NULL	Introduction to theological foundations, history ad practice of Christian worship, with special reference to basic forms and practices. Designed to help students develop biblical and practical framework for understanding worship.  (Offered alternate spring semesters).  Prerequisite(s): BCM 101 BCM 103	BCM  270                      	270	BCM	BCM-270	0	WORSHIP:THEOLOGY AND PRACTICE	2	UG	NULL	F	2	2
BCM271	NULL	Lower level topic not regularly taught but of interest to majors. Designated as repeatable; students may enroll more than once if topic changes. Prerequisites set by instructor.	BCM  271                      	271	BCM	BCM-271	0	SELECTED TOPICS: LOWER LEVEL	4	UG	NULL	V	4	2
BCM277	Y	Focuses on broadest possible understanding of youth ministries across cultures and traditions. Students engage in analysis and critique of variety of emerging movements in youth ministries. Course fee and participation at one of national youth ministry conventions required. (Offered alternate fall semesters).  Prerequisite(s): BCM 101 BCM 103	BCM  277                      	277	BCM	BCM-277	0	FUTURE OF YOUTH MINISTRIES	2	UG	Y	F	2	2
BCM313	NULL	Studies geographical, economic, social, political, cultural and religious changes in ancient Israel from patriarchs to intertestamental period.  Includes focus on land of the Bible stressing relevant biblical, historical and archaeological materials that inform our understanding of biblical Israel.  (Alternate Years).  Prerequisite(s): BCM 101 BCM 103	BCM  313                      	313	BCM	BCM-313	0	HISTORY OF ISRAEL	4	UG	NULL	F	4	4
BCM314	NULL	Surveys major non-Christian religions of world. Focuses on history, belief structure and relationship to culture; key issues in presenting gospel message to adherents of each religion.  Prerequisites BCM 101 BCM 103	BCM  314                      	314	BCM	BCM-314	0	SURVEY OF WORLD RELIGIONS	4	UG	NULL	F	4	4
BCM315	NULL	Investigates historical and contemporary philosophies of education, educational theory, components of curriculum theory, evaluates and critiques published curricular materials, and designs teaching-learning experiences appropriate ofr Christinian ministries.  Prerequisite(s): BCM 101 BCM 103	BCM  315                      	315	BCM	BCM-315	0	EDUCATIONAL THEORIES AND METHODS	4	UG	NULL	F	4	4
BCM317	NULL	Studies Gospel of John from number of perspectives, emphasizing literary analysis, historical and exegetical issues as well as theological distictives. (Alternate years).  Prerequisite(s): BCM 101 BCM 103	BCM  317                      	317	BCM	BCM-317	0	GOSPEL OF JOHN	4	UG	NULL	F	4	4
BCM320	NULL	Explores communication strategy and elements of homiletical theory in effective presentation of gospel message to youth. Opportunities to design and deliver youth talks.  Prerequisite(s): BCM 101 BCM 103	BCM  320                      	320	BCM	BCM-320	0	EXPOSITORY COMMUNICATION	2	UG	NULL	F	2	2
BCM320	NULL	Explores communication strategy and elements of homiletical theory in effective presentation of gospel message to youth. Opportunities to design and deliver youth talks.  Prerequisite(s): BCM 101 BCM 103	BCM  320                      	320	BCM	BCM-320	0	EXPOSITORY COMMUNICATION	2	UG	NULL	F	2	2
BCM321	NULL	Analyzes spiritual decision-making process, communication theory and strategy for contemporary culture, and art of persuasion; spiritual formation and nurture. Incorporates individual experiences in personal evangelism and small-group discipleship.  Prerequisite(s): BCM 101 BCM 103	BCM  321                      	321	BCM	BCM-321	0	EVANGELISM AND DISCIPLESHIP	4	UG	NULL	F	4	4
BCM335	NULL	Studies selected critical problems relating to origin, transmission and interpretation of biblical books. Prerequisites, BCM 101, BCM 103.	BCM  335                      	335	BCM	BCM-335	0	BIBLICAL HERMENEUTICS	4	UG	NULL	F	4	4
BCM335	NULL	Studies selected critical problems relating to origin, transmission and interpretation of biblical books. Prerequisites, BCM 101, BCM 103.	BCM  335                      	335	BCM	BCM-335	0	BIBLICAL HERMENEUTICS	4	UG	NULL	F	4	4
BCM350	NULL	The understanding of God as Trinity and the doctrine of Christology have been the centerpieces of theological reflection in the Christian tradition from the earliest churches to the present day. In this course we will explore the biblical/theological foundations, historical development, and contemporary approaches to the doctrines of the Trinity and Christology. The course, then, is an attempt to explore how various streams in the church formulated the nature of God, the Redeemer figure, and the redeemed people.	BCM  350                      	350	BCM	BCM-350	0	TRINITY AND CHRISTOLOGY	4	UG	NULL	F	4	4
BCM425	NULL	 Involves 400 hours of  ministry experience in church or parachurch setting under supervision of on-site minister. Placements made in summer following junior year or during senior year. Practicum students attend on-campus meetings throughout academic year or are visited by instructor on-site in summer. Repeatable for elective credit if completed in a dissimilar context. International placements may fulfill core Global Understanding theme. Pre-and/or concurrent requisites: BCM 105, BCM 241, BCM 253, BCM 260, BCM 320 and BCM 321 or by permission of instructor.	BCM  425                      	425	BCM	BCM-425	0	PRACTICUM I	2	UG	NULL	V	6	2
BCM425	NULL	 Involves 400 hours of  ministry experience in church or parachurch setting under supervision of on-site minister. Placements made in summer following junior year or during senior year. Practicum students attend on-campus meetings throughout academic year or are visited by instructor on-site in summer. Repeatable for elective credit if completed in a dissimilar context. International placements may fulfill core Global Understanding theme. Pre-and/or concurrent requisites: BCM 105, BCM 241, BCM 253, BCM 260, BCM 320 and BCM 321 or by permission of instructor.	BCM  425                      	425	BCM	BCM-425	0	PRACTICUM I	2	UG	NULL	V	6	2
BCM425	NULL	 Involves 400 hours of  ministry experience in church or parachurch setting under supervision of on-site minister. Placements made in summer following junior year or during senior year. Practicum students attend on-campus meetings throughout academic year or are visited by instructor on-site in summer. Repeatable for elective credit if completed in a dissimilar context. International placements may fulfill core Global Understanding theme. Pre-and/or concurrent requisites: BCM 105, BCM 241, BCM 253, BCM 260, BCM 320 and BCM 321 or by permission of instructor.	BCM  425                      	425	BCM	BCM-425	0	PRACTICUM I	2	UG	NULL	V	6	2
BCM426	NULL	Involves 400 hours of  ministry experience in church or parachurch setting under supervision of on-site minister. Placements made in summer following junior year or during senior year. Practicum students attend on-campus meetings throughout academic year or are visited by instructor on-site in summer. Repeatable for elective credit if completed in a dissimilar context. International placements may fulfill core Global Understanding theme. Pre-and/or concurrent requisites: BCM 105, BCM 241, BCM 253, BCM 260, BCM 320 and BCM 321 or by permission of instructor.	BCM  426                      	426	BCM	BCM-426	0	PRACTICUM II	2	UG	NULL	V	6	2
BCM426	NULL	Involves 400 hours of  ministry experience in church or parachurch setting under supervision of on-site minister. Placements made in summer following junior year or during senior year. Practicum students attend on-campus meetings throughout academic year or are visited by instructor on-site in summer. Repeatable for elective credit if completed in a dissimilar context. International placements may fulfill core Global Understanding theme. Pre-and/or concurrent requisites: BCM 105, BCM 241, BCM 253, BCM 260, BCM 320 and BCM 321 or by permission of instructor.	BCM  426                      	426	BCM	BCM-426	0	PRACTICUM II	2	UG	NULL	V	6	2
BCM426	NULL	Involves 400 hours of  ministry experience in church or parachurch setting under supervision of on-site minister. Placements made in summer following junior year or during senior year. Practicum students attend on-campus meetings throughout academic year or are visited by instructor on-site in summer. Repeatable for elective credit if completed in a dissimilar context. International placements may fulfill core Global Understanding theme. Pre-and/or concurrent requisites: BCM 105, BCM 241, BCM 253, BCM 260, BCM 320 and BCM 321 or by permission of instructor.	BCM  426                      	426	BCM	BCM-426	0	PRACTICUM II	2	UG	NULL	V	6	2
BCM491	NULL	Reading and research in selected area of  ministry.  Integrative experience brings to culmination various facets of ministry. Prerequisites: BCM104, 260, 321, senior standing, major or minor.	BCM  491                      	491	BCM	BCM-491	0	SENIOR SEM IN CHRISTIAN MINISTRIES	4	UG	NULL	F	4	4
BCM491	NULL	Reading and research in selected area of  ministry.  Integrative experience brings to culmination various facets of ministry. Prerequisites: BCM104, 260, 321, senior standing, major or minor.	BCM  491                      	491	BCM	BCM-491	0	SENIOR SEM IN CHRISTIAN MINISTRIES	4	UG	NULL	F	4	4
BCM492	NULL	Reading and research in selected areas of biblical studies.  Prerequisite: Permission of instructor.	BCM  492                      	492	BCM	BCM-492	0	SENIOR SEMINAR IN BIBLICAL STUDIES	4	UG	NULL	F	4	4
BIO100	NULL	Students will explore the spectrum of subjects relevant to first-year entering students in the biological sciences, including establishing community, developing effective study habits, and exploring the breadth of study available in biology at Gordon College.  First-semester biology students only.	BIO  100                      	100	BIO	BIO-100	0	FIRST YEAR SEMINAR	1	UG	NULL	F	1	1
BIO105	Y	Concepts of cell structure and function. Cellular processes including respiration and photosynthesis, mitosis and meiosis. Weekly laboratory. Lab fee.	BIO  105                      	105	BIO	BIO-105	0	CELL STRUCTURE AND FUNCTION	2	UG	Y	F	2	2
BIO106	Y	Explores Mendelian, molecular and developmental genetics. Weekly laboratory. Lab fee.	BIO  106                      	106	BIO	BIO-106	0	GENETICS AND DEVELOPMENT	2	UG	Y	F	2	2
BC205	NULL	This course builds on the first-year curriculum by allowing students to explore potential career paths within the discipline of biochemistry. The content of this course serves as a bridge between the first-year curriculum and more advanced courses in biochemistry. Students will be introduced to some of the main themes of biochemistry from the perspective of examining applications of those techniques. Students will be exposed to some of the current medical and industrial applications of biochemical research through field trips and by reading primary literature. Students will learn about key discoveries in biochemistry leading to major breakthroughs in the field. Students will also explore ethical issues regarding some of the applications of biochemistry. Prerequisites: BIO 105 and 106 or equivalent, CHE 111 and CHE 112.	BIO  205                      	205	BIO	BIO-205	0	INTR DISCIPLINE OF BIOCHEMISTRY	2	UG	NULL	F	2	2
CPS121	Y	Introduces fundamental programming concepts using Python. Topics include nature of algorithms, essential control structures and data representation. Weekly programming laboratories. Lab fee.	CPS  121                      	121	CPS	CPS-121	0	INTRODUCTION TO PROGRAMMING	4	UG	Y	F	4	4
KIN213	Y	Examines structure and function of human body. Emphasizes organ systems: skeletal, muscular, nervous, endocrine, respiratory, circulatory, digestive, urinary and reproductive.  Weekly laboratory. Lab fee.  Cross-listed as KIN 213.  Fulfills core Natural World Theme or Human Person them if taken at Gordon College.	BIO  213                      	213	BIO	BIO-213	0	HUMAN ANATOMY & PHYSIOLOGY I	4	UG	Y	F	4	0
KIN213	Y	Examines structure and function of human body. Emphasizes organ systems: skeletal, muscular, nervous, endocrine, respiratory, circulatory, digestive, urinary and reproductive.  Weekly laboratory. Lab fee.  Cross-listed as KIN 213.  Fulfills core Natural World Theme or Human Person them if taken at Gordon College.	BIO  213                      	213	BIO	BIO-213	0	HUMAN ANATOMY & PHYSIOLOGY I	4	UG	Y	F	4	0
KIN214	Y	Examines structure and function of human body. Emphasizes organ systems: skeletal, muscular,nervous, endocrine, respiratory, circulatory, digestive, urinary and reproductive.  Weekly laboratory. Lab fee.  Cross-listed as KIN 214.  Fulfills core Natural World Theme.	BIO  214                      	214	BIO	BIO-214	0	HUMAN ANATOMY & PHYSIOLOGY II	4	UG	Y	F	4	0
KIN214	Y	Examines structure and function of human body. Emphasizes organ systems: skeletal, muscular,nervous, endocrine, respiratory, circulatory, digestive, urinary and reproductive.  Weekly laboratory. Lab fee.  Cross-listed as KIN 214.  Fulfills core Natural World Theme.	BIO  214                      	214	BIO	BIO-214	0	HUMAN ANATOMY & PHYSIOLOGY II	4	UG	Y	F	4	0
BIO225	NULL	Explores fundamentals of current nutritional science; emphasizes physiological basis. Analyzes proteins, lipids, carbohydrates, vitamins, minerals and their major functions, and importance of water. Encompasses whole person and integral role of nutrition in human health. Fulfills core Natural World theme. Prerequisite: BIO105 and 106   (Alternate years.)	BIO  225                      	225	BIO	BIO-225	0	NUTRITION	4	UG	NULL	F	4	4
BIO250	Y	Introduces complex issues of evolution and ecology, focusing on plant biology. Discusses different ways Christians have addressed controversial issues in biology.  Offered  fall semester. Lab fee.	BIO  250                      	250	BIO	BIO-250	0	BIOLOGY III:PLANTS, ECOL, EVOLUTN	4	UG	Y	V	4	0
BIO255	NULL	Explores topics of the Christian faith as they relate to biology and biochemistry, including origins, ethics, age of the earth, and biotechnology. Prerequisite: BIO107 or permission of instructor.	BIO  255                      	255	BIO	BIO-255	0	BIOLOGICAL SCIENCES & FAITH	2	UG	NULL	F	2	2
BIO260	NULL	Emphasizes skills necessary to become working scientist and sets stage for upper-level biology courses. Meets once per week.  (Offered fall and spring each year)	BIO  260                      	260	BIO	BIO-260	0	INTRODUCTION TO RESEARCH IN BIOLOGY	2	UG	NULL	F	2	2
BIO260	NULL	Emphasizes skills necessary to become working scientist and sets stage for upper-level biology courses. Meets once per week.  (Offered fall and spring each year)	BIO  260                      	260	BIO	BIO-260	0	INTRODUCTION TO RESEARCH IN BIOLOGY	2	UG	NULL	F	2	2
BIO302	NULL	Studies major food crops in world agriculture: adaptation, production, utilization, morphology and reproduction. Focus on social, economic, political, cultural and environmental issues pertaining to past and modern agricultural practices. (Alternate years)  Fulfills coe Natural World theme.	BIO  302                      	302	BIO	BIO-302	0	CROPS AND SOCIETY	4	UG	NULL	F	4	4
BIO304	NULL	Ecological, population and genetic factors that influence biological diversity, presented from biological, social and faith-based perspectives. Topics include theoretical concepts and practical applications to preserve and protect ecosystems, habitats, and species in decline with emphasis on sustainability and stewardship. Prerequisite: BIO 222 or BIO 250. (Alternate years. Offered fall of odd years.) Fulfills core Civic Responsibility theme.	BIO  304                      	304	BIO	BIO-304	0	CONSERVATION BIOLOGY	4	UG	NULL	F	4	4
BIO307	NULL	Explores controversial issues in environmental science that are relevant politically, socially, and scientifically. Topics range from major conceptual ideas (nature valuation, reintroduction of extinct species) to merits of specific possible approaches (banning plastic bags to protect the environment) through class discussion from multiple perspectives. Prerequisite(s): BIO222 or permission of instructor.	BIO  307                      	307	BIO	BIO-307	0	CONTROVERSIAL ISSUES IN ENV SCIENCE	2	UG	NULL	F	2	2
